STATISTIC_CODE,Statistic,CSOED_3409,Electoral_Division,TLISTA1,CensusYear,UNIT,VALUE,GUID,ED_ID
FP009C01,Population - 2016,23151,"New Birmingham, Co.Tipperary, ",2022,2022,Number,432.0,2AE196291C7113A3E055000000000001,217137
FP009C01,Population - 2016,34019,"Raferagh, Co.Monaghan, ",2022,2022,Number,448.0,2AE196291AB713A3E055000000000001,177063
FP009C01,Population - 2016,13066,"Clonlost, Co.Westmeath, ",2022,2022,Number,448.0,2AE196291B6413A3E055000000000001,237030
FP009C01,Population - 2016,23142,"Ballyphilip, Co.Tipperary, ",2022,2022,Number,448.0,2AE196291BFA13A3E055000000000001,217023
FP009C01,Population - 2016,14108,"Killag, Co.Wexford, ",2022,2022,Number,448.0,2AE196291E4313A3E055000000000001,247066
FP009C01,Population - 2016,07020,"Templeorum, Co.Kilkenny, ",2022,2022,Number,448.0,2AE1962923F513A3E055000000000001,97099
FP009C01,Population - 2016,32069,"Knappagh, Co.Cavan, ",2022,2022,Number,464.0,2AE196291D5513A3E055000000000001,27064
FP009C01,Population - 2016,27103,"Bracklagh, Co.Galway, ",2022,2022,Number,464.0,2AE1962920AF13A3E055000000000001,67039
FP009C01,Population - 2016,21112,"Castletown, Co.Limerick, ",2022,2022,Number,480.0,2AE19629178213A3E055000000000001,127043
FP009C01,Population - 2016,11025,"Castlekeeran, Co.Meath, ",2022,2022,Number,480.0,2AE19629185213A3E055000000000001,167016
FP009C01,Population - 2016,11076,"Clonmacduff, Co.Meath, ",2022,2022,Number,480.0,2AE19629186013A3E055000000000001,167020
FP009C01,Population - 2016,29031,"Sallymount, Co.Mayo, ",2022,2022,Number,480.0,2AE19629187713A3E055000000000001,157135
FP009C01,Population - 2016,14011,"Ballymore, Co.Wexford, ",2022,2022,Number,480.0,2AE196291E4B13A3E055000000000001,247019
FP009C01,Population - 2016,16090,"Killimer, Co.Clare, ",2022,2022,Number,480.0,2AE196291FC913A3E055000000000001,37087
FP009C01,Population - 2016,18070,"Rathbarry, Co.Cork, ",2022,2022,Number,480.0,2AE19629212E13A3E055000000000001,47274
FP009C01,Population - 2016,19094,"Astee, Co.Co.Kerry, ",2022,2022,Number,480.0,2AE19629239E13A3E055000000000001,77008
FP009C01,Population - 2016,11088,"Rahinstown, Co.Meath, ",2022,2022,Number,496.0,2AE1962918B413A3E055000000000001,167073
FP009C01,Population - 2016,34050,"Caddagh, Co.Monaghan, ",2022,2022,Number,496.0,2AE196291A9413A3E055000000000001,177013
FP009C01,Population - 2016,07006,"Coolaghmore, Co.Kilkenny, ",2022,2022,Number,496.0,2AE1962923CC13A3E055000000000001,97028
FP009C01,Population - 2016,30109,"Scregg, Co.Roscommon, ",2022,2022,Number,512.0,2AE1962919E113A3E055000000000001,197102
FP009C01,Population - 2016,15029,"Tober, Co.Wicklow, ",2022,2022,Number,512.0,2AE196291ED213A3E055000000000001,257072
FP009C01,Population - 2016,33128,"An Tearmann, Co.Donegal, ",2022,2022,Number,512.0,2AE1962920D513A3E055000000000001,57142
FP009C01,Population - 2016,18064,"Kilkerranmore, Co.Cork, ",2022,2022,Number,512.0,2AE19629219B13A3E055000000000001,47199
FP009C01,Population - 2016,19134,"Ballynorig, Co.Co.Kerry, ",2022,2022,Number,512.0,2AE19629230D13A3E055000000000001,77024
FP009C01,Population - 2016,12022,"Kinnitty, Co.Offaly, ",2022,2022,Number,544.0,2AE196291AD313A3E055000000000001,187056
FP009C01,Population - 2016,22067,"Gortkelly, Co.Tipperary, ",2022,2022,Number,544.0,2AE196291C3F13A3E055000000000001,217082
FP009C01,Population - 2016,18303,"Knockskagh, Co.Cork, ",2022,2022,Number,544.0,2AE19629213513A3E055000000000001,47232
FP009C01,Population - 2016,01037,"Oldleighlin, Co.Carlow, ",2022,2022,Number,576.0,2AE1962918B713A3E055000000000001,17037
FP009C01,Population - 2016,27004,"Aughrim, Co.Galway, ",2022,2022,Number,576.0,2AE19629205213A3E055000000000001,67015
FP009C01,Population - 2016,18191,"Laherne, Co.Cork, ",2022,2022,Number,576.0,2AE19629214313A3E055000000000001,47234
FP009C01,Population - 2016,06042,"Ballynadrumny, Co.Kildare, ",2022,2022,Number,576.0,2AE19629224B13A3E055000000000001,87007
FP009C01,Population - 2016,19050,"Dawros, Co.Co.Kerry, ",2022,2022,Number,576.0,2AE1962922CB13A3E055000000000001,77061
FP009C01,Population - 2016,34018,"Loughfea, Co.Monaghan, ",2022,2022,Number,640.0,2AE196291A9813A3E055000000000001,177057
FP009C01,Population - 2016,30061,"Bellanagare, Co.Roscommon, ",2022,2022,Number,640.0,2AE196291AE213A3E055000000000001,197020
FP009C01,Population - 2016,16091,"Kilmihil, Co.Clare, ",2022,2022,Number,640.0,2AE196291FDE13A3E055000000000001,37093
FP009C01,Population - 2016,21093,"Glengort, Co.Limerick, ",2022,2022,Number,672.0,2AE19629179013A3E055000000000001,127077
FP009C01,Population - 2016,27116,"Kilconickny, Co.Galway, ",2022,2022,Number,672.0,2AE19629238C13A3E055000000000001,67116
FP009C01,Population - 2016,12033,"Srah, Co.Offaly, ",2022,2022,Number,704.0,2AE196291A6D13A3E055000000000001,187081
FP009C01,Population - 2016,28030,"Gubacreeny, Co.Leitrim, ",2022,2022,Number,736.0,2AE19629172713A3E055000000000001,117050
FP009C01,Population - 2016,20013,"Custom House, Co.Limerick, ",2022,2022,Number,736.0,2AE1962917E513A3E055000000000001,128013
FP009C01,Population - 2016,11078,"Galtrim, Co.Meath, ",2022,2022,Number,736.0,2AE19629189C13A3E055000000000001,167032
